DATE,TIME,MQ2,MQ3,MQ4,MQ6,MQ7,MQ135,TEMP,HUMI,Average,1323.456022,2604.59134,730.0798376,1375.630582,1506.522327,2269.31935,35.80933694,68.67997294
21/05/2025,23:03:46,1437,2865,866,1388,1627,2433,35.2,66.6,,,,,,,,,
21/05/2025,23:03:36,1437,2865,856,1387,1628,2433,35.2,66.6,,,,,,,,,
21/05/2025,23:03:34,1452,2866,869,1398,1628,2436,35.2,66.6,,,,,,,,,
21/05/2025,23:03:11,1440,2875,864,1390,1629,2438,35.2,66.7,,,,,,,,,
21/05/2025,23:03:00,1453,2871,867,1391,1627,2436,35.2,66.7,,,,,,,,,
21/05/2025,23:02:49,1443,2868,870,1396,1629,2436,35.2,66.7,,,,,,,,,
21/05/2025,23:02:38,1444,2872,872,1396,1626,2438,35.3,66.8,,,,,,,,,
21/05/2025,23:02:27,1446,2874,872,1398,1630,2440,35.3,66.7,,,,,,,,,
21/05/2025,23:02:16,1442,2878,870,1391,1625,2434,35.3,66.8,,,,,,,,,
21/05/2025,23:02:05,1443,2874,879,1400,1629,2438,35.3,66.9,,,,,,,,,
21/05/2025,23:01:53,1445,2877,881,1392,1626,2439,35.3,66.9,,,,,,,,,
21/05/2025,23:01:43,1444,2877,878,1404,1626,2440,35.3,66.9,,,,,,,,,
21/05/2025,23:01:32,1443,2876,880,1401,1625,2432,35.3,67,,,,,,,,,
21/05/2025,23:01:21,1452,2882,880,1402,1627,2441,35.4,67.1,,,,,,,,,
21/05/2025,23:01:10,1446,2880,881,1397,1625,2438,35.4,67.1,,,,,,,,,
21/05/2025,23:00:59,1451,2875,877,1402,1619,2443,35.4,67.1,,,,,,,,,
21/05/2025,23:00:48,1447,2882,878,1399,1623,2438,35.4,67.2,,,,,,,,,
21/05/2025,23:00:37,1450,2882,885,1399,1622,2441,35.4,67.2,,,,,,,,,
21/05/2025,23:00:26,1451,2888,885,1405,1624,2437,35.4,67.3,,,,,,,,,
21/05/2025,23:00:15,1440,2876,882,1396,1614,2428,35.4,67.3,,,,,,,,,
21/05/2025,23:00:03,1453,2879,880,1399,1619,2435,35.5,67.4,,,,,,,,,
21/05/2025,22:59:53,1444,2875,882,1400,1614,2429,35.4,67.3,,,,,,,,,
21/05/2025,22:59:42,1446,2883,886,1399,1619,2436,35.5,67.4,,,,,,,,,
21/05/2025,22:59:31,1446,2878,884,1397,1615,2431,35.5,67.4,,,,,,,,,
21/05/2025,22:59:20,1451,2880,881,1391,1614,2428,35.5,67.4,,,,,,,,,
